Date,Open,High,Low,Close
19-Dec,70,70.5,40.7,46.95
20-Jan,46.9,48.5,36.55,39.2
20-Feb,39.1,40.7,33.6,34.55
20-Mar,35.2,87.95,5.55,22.45
20-Apr,22.3,30.45,20.3,27.95
20-May,27.8,31.6,25.2,26.85
20-Jun,27.75,31.95,25.55,25.6
20-Jul,25.6,28.3,11.1,11.95
20-Aug,12,17.16,11.85,14.37
20-Sep,14.3,15.34,12.75,13.15
20-Oct,13.3,14.01,12.11,12.42
20-Nov,12.41,14.9,12.21,14.67
